FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,key,model_slope,model_MAD,model_pval
2-JKS044.60,5,18.961111111111112,13,22.7,18,May,2-JKS044.60_5,-0.0019761904761904487,0.09630904191176475,0.7018814086914064
2-JKS044.60,6,24.918,22.2,26.5,15,June,2-JKS044.60_6,0.07126923076923083,0.01949057154977367,6.103515625000003e-5
2-JKS044.60,7,26.47611111111111,23.8,29.1,18,July,2-JKS044.60_7,0.005970779220779349,0.04706292272727277,0.6011202499200776
2-JKS044.60,8,26.052777777777777,24.03,27.6,18,August,2-JKS044.60_8,0.06461111111111106,0.05150269999999999,0.005599975585937501
2-JKS044.60,9,23.497692307692308,20.6,25.24,13,September,2-JKS044.60_9,0.045619047619047906,0.06674720865384572,0.008056640625000005
2-JKS044.60,10,18.071578947368423,15.56,21.75,19,October,2-JKS044.60_10,0.07830357142857146,0.05755868653846153,7.62939453125e-6
2-JKS046.40,5,18.86888888888889,13,22.5,18,May,2-JKS046.40_5,-0.05782692307692311,0.05852393921568633,0.07368469238281251
2-JKS046.40,6,24.751333333333335,21.5,26.37,15,June,2-JKS046.40_6,0.08493627450980391,0.036687533759590725,0.002624511718750001
2-JKS046.40,7,26.410555555555554,23.8,29.7,18,July,2-JKS046.40_7,0.05653441295546564,0.02657451332398318,9.322285432855873e-4
2-JKS046.40,8,25.812941176470588,22.5,27.5,17,August,2-JKS046.40_8,0.08885714285714277,0.047327151249999914,0.0010681152343750002
2-JKS046.40,9,23.220769230769232,18.8,25.12,13,September,2-JKS046.40_9,0.09944836956521735,0.0421554902173911,0.0012207031250000009
2-JKS046.40,10,18.11111111111111,15.2,22,18,October,2-JKS046.40_10,0.083421218487395,0.06684054999999998,0.002652921418277019
2-JKS048.90,5,19.05,12.7,23,18,May,2-JKS048.90_5,-0.08952930402930405,0.09244463031674172,0.05530875286195221
2-JKS048.90,6,24.97,22.3,26.9,13,June,2-JKS048.90_6,0.04689839572192512,0.045951638524353244,0.013427734375000009
2-JKS048.90,7,26.754444444444445,23.7,31.3,18,July,2-JKS048.90_7,0.03488235294117699,0.0851694316490691,0.27620328978060316
2-JKS048.90,8,25.855555555555554,20.8,27.7,18,August,2-JKS048.90_8,0.06537916666666674,0.023187687500000005,0.0014750245052184247
2-JKS048.90,9,23.49692307692308,20.3,25.2,13,September,2-JKS048.90_9,0.04572222222222225,0.054038077243589944,0.21630859375000014
2-JKS048.90,10,18.24736842105263,15.72,22.1,19,October,2-JKS048.90_10,0.05815833333333327,0.07040084916666643,0.003917694091796875
2-JKS053.48,5,19.215,13,24.6,18,May,2-JKS053.48_5,-0.15889610389610373,0.11542438125000011,0.01867287405797883
2-JKS053.48,6,25.896923076923077,22.8,28.2,13,June,2-JKS053.48_6,-0.08573333333333343,0.09725514162055307,0.1677246093750001
2-JKS053.48,7,27.7225,24.7,31,16,July,2-JKS053.48_7,-0.07658064516129034,0.020821569230769207,0.005157470703125002
2-JKS053.48,8,26.741176470588236,23.65,28.9,17,August,2-JKS053.48_8,-0.043623809523809454,0.06795485333333331,0.07968139648437501
2-JKS053.48,9,23.6425,18.2,26.4,12,September,2-JKS053.48_9,0.04151666666666687,0.1246028608695652,0.4099368570460952
2-JKS053.48,10,17.13764705882353,12.22,22.4,17,October,2-JKS053.48_10,-0.08125000000000004,0.08660534090909083,0.04476928710937501
2-XDD000.40,5,23.718333333333334,18.4,31.34,13,May,2-XDD000.40_5,0,0.6455928749999996,0.8384637819224636
2-XDD000.40,6,28.524545454545454,24.22,32.17,12,June,2-XDD000.40_6,0.21596590909090896,0.21576884318181605,0.41308593749999994
2-XDD000.40,7,30.678666666666665,27.2,35.3,15,July,2-XDD000.40_7,0.15333333333333293,0.2174480000000003,0.16882324218750003
2-XDD000.40,8,29.967586206896552,26.7,35.14,30,August,2-XDD000.40_8,-0.163333333333334,0.31628800000000057,0.0010132463233126024
2-XDD000.40,9,26.15888888888889,20.9,31.51,10,September,2-XDD000.40_9,0.21911111111111115,0.0696821999999998,0.00390625
2-XDD000.40,10,19.615384615384617,15.6,24.12,13,October,2-XDD000.40_10,0.07059090909090893,0.3097510818181821,0.1464843750000001
4ABSA000.62,5,21.374583333333334,16.7,26.76,24,May,4ABSA000.62_5,-0.002288461538461545,0.1565772230769231,0.8995701074600224
4ABSA000.62,6,25.574166666666667,16,29.6,36,June,4ABSA000.62_6,-0.01929999999999997,0.07472304000000006,0.2680291511932647
4ABSA000.62,7,28.0924,25.3,31.14,25,July,4ABSA000.62_7,-0.023375000000000146,0.06199121249999971,0.10731470584869383
4ABSA000.62,8,27.433870967741935,25,29.9,31,August,4ABSA000.62_8,-0.010487500000000094,0.05041081728260881,0.33690759073942894
4ABSA000.62,9,25.0665,21.4,29.49,20,September,4ABSA000.62_9,-0.0030000000000001137,0.058933349999999926,0.6142368188613654
4ABSA000.62,10,19.781,16,24.5,30,October,4ABSA000.62_10,0.074202786377709,0.034689639545129956,9.313225746154793e-9
4ABWR002.50,5,21.237083333333334,14,26.75,24,May,4ABWR002.50_5,0.04308333333333321,0.13247929545454531,0.013779282569885276
4ABWR002.50,6,25.757631578947368,13.4,29.81,38,June,4ABWR002.50_6,0.010603448275862126,0.062035105263157655,0.27381281843554467
4ABWR002.50,7,28.112962962962964,25.23,31.27,27,July,4ABWR002.50_7,0.07164285714285692,0.06633840750000021,2.0414590835571276e-6
4ABWR002.50,8,27.29875,25.1,29.86,32,August,4ABWR002.50_8,0.055174603174603314,0.03832991666666654,6.685266271233563e-5
4ABWR002.50,9,24.96666666666667,19,29.43,21,September,4ABWR002.50_9,0.056000000000000036,0.060675404999999856,0.001374244689941406
4ABWR002.50,10,19.880294117647058,16.9,24.8,34,October,4ABWR002.50_10,0.09698976982097181,0.03193486273657295,5.46083726449893e-7
4ABWR010.55,5,22.261666666666667,15,27.27,24,May,4ABWR010.55_5,0.034366666666666566,0.139073175,0.17469182698689226
4ABWR010.55,6,26.7772972972973,22,30.8,37,June,4ABWR010.55_6,-0.005551282051282145,0.04308996326923068,0.19169603320187906
4ABWR010.55,7,29.02925925925926,26.13,32.09,27,July,4ABWR010.55_7,5.714285714285084e-4,0.0540275325000002,0.45531769096851343
4ABWR010.55,8,27.76794117647059,16,30.52,34,August,4ABWR010.55_8,0.002849999999999871,0.045602238930481556,0.8792931246571244
4ABWR010.55,9,25.503333333333334,22,30.04,21,September,4ABWR010.55_9,0.01867424242424246,0.07214196818181845,0.09579944610595702
4ABWR010.55,10,20.131212121212123,17.1,25,33,October,4ABWR010.55_10,0.0762518518518518,0.029442308194444537,3.259629011154183e-9
4ABWR017.42,5,22.645833333333332,17,26.87,24,May,4ABWR017.42_5,0.11334374999999992,0.17335728173076934,0.00792050361633302
4ABWR017.42,6,27.111764705882354,21.5,32.1,34,June,4ABWR017.42_6,0.08521296296296299,0.09472970365656533,0.02511141926060835
4ABWR017.42,7,29.275555555555556,26,31.9,27,July,4ABWR017.42_7,0.07433333333333349,0.11267760000000003,0.0032471865415573116
4ABWR017.42,8,28.261290322580646,25.78,30.54,31,August,4ABWR017.42_8,0.03709759358288773,0.07153758455368152,0.06948136258870362
4ABWR017.42,9,25.693333333333335,22.1,30.82,21,September,4ABWR017.42_9,0.14305833333333332,0.11134325999999972,2.8610229492187496e-6
4ABWR017.42,10,20.04939393939394,16.1,25.4,33,October,4ABWR017.42_10,0.04730295566502453,0.07310997926353557,8.192581590265054e-4
4ACCK001.80,5,21.25875,17,25.71,24,May,4ACCK001.80_5,0.009750000000000036,0.11899733823529429,0.8751259430093796
4ACCK001.80,6,25.543225806451613,9,29.7,31,June,4ACCK001.80_6,-0.06036997126436781,0.08155203957780721,0.009736925363540642
4ACCK001.80,7,28.592608695652174,26.8,30.35,23,July,4ACCK001.80_7,-0.018162907268170457,0.05804936368420995,0.42741799354553217
4ACCK001.80,8,28.21857142857143,24.54,30.1,28,August,4ACCK001.80_8,-0.012090497737556523,0.03989602805429913,0.5017106875224726
4ACCK001.80,9,24.341923076923077,12.7,29.86,26,September,4ACCK001.80_9,0.013571428571428706,0.061217901818181646,0.6893201172351839
4ACCK001.80,10,20.06576923076923,17.1,29,26,October,4ACCK001.80_10,0.05432142857142863,0.037409175000000086,4.1723251342773496e-7
4ACOA000.60,5,21.339583333333334,16.3,27,24,May,4ACOA000.60_5,-0.0454090909090909,0.10216628730650154,0.289667129516602
4ACOA000.60,6,25.99735294117647,21.63,29.3,34,June,4ACOA000.60_6,-0.006900000000000037,0.05333653500000013,0.9596304784063251
4ACOA000.60,7,27.9712,25.3,30.63,25,July,4ACOA000.60_7,-0.017194444444444637,0.06758184999999993,0.9789152741432189
4ACOA000.60,8,27.260689655172413,25,29.21,29,August,4ACOA000.60_8,-0.007506060606060542,0.046704266704545305,0.685573924332857
4ACOA000.60,9,24.985,21.68,29.09,20,September,4ACOA000.60_9,-0.0026911764705881934,0.06984693333333342,0.7509739924978779
4ACOA000.60,10,19.918333333333333,16.7,24.5,30,October,4ACOA000.60_10,0.07333031674208151,0.03345225368876657,2.473836693323834e-6
4AGIL002.39,5,22.364166666666666,17,26.98,24,May,4AGIL002.39_5,-0.026333333333333382,0.0847305900000004,0.637317542719823
4AGIL002.39,6,26.7775,22.8,30.2,36,June,4AGIL002.39_6,-0.018051759834368544,0.057167549183303086,0.142646368687174
4AGIL002.39,7,28.935185185185183,26.1,32.01,27,July,4AGIL002.39_7,-0.026916666666666346,0.06283399999999979,0.38649296760559076
4AGIL002.39,8,27.978181818181817,25.59,30.6,33,August,4AGIL002.39_8,-0.0416116071428571,0.06992845144230739,0.01781605486758058
4AGIL002.39,9,25.493333333333332,21.6,30.08,21,September,4AGIL002.39_9,0.007033333333333461,0.05520627108359144,0.25724792480468744
4AGIL002.39,10,20.08451612903226,16.9,25.3,31,October,4AGIL002.39_10,0.057395833333333285,0.04001969825000005,3.177858889102932e-5
4AROA018.36,5,22.258666666666667,20,26.57,15,May,4AROA018.36_5,-0.08301446051167964,0.04197102555126616,0.005371093750000002
4AROA018.36,6,27.155625,23,31,16,June,4AROA018.36_6,-0.16914054054054056,0.1053805533445946,0.006615216752983401
4AROA018.36,7,29.185,26,31.5,22,July,4AROA018.36_7,-0.06201874999999999,0.04954141883449891,0.0025285619499741748
4AROA018.36,8,28.778,26,31,20,August,4AROA018.36_8,-0.034116537717601536,0.0525243280434782,0.03276824951171875
4AROA018.36,9,27.241666666666667,23.99,31.04,12,September,4AROA018.36_9,-0.05764244186046513,0.0934278681818182,0.3668011993950175
4AROA018.36,10,22.828,18.56,26,10,October,4AROA018.36_10,0.13026904761904767,0.07690353910256409,0.4145198529802937
4AROA038.49,5,21.935454545454544,17.78,28.25,22,May,4AROA038.49_5,0.017306429548563602,0.044390017424242555,0.1831300025706402
4AROA038.49,6,26.739166666666666,21.11,31.11,24,June,4AROA038.49_6,-3.137597984322535e-4,0.050299256281984124,0.501925730466406
4AROA038.49,7,29.31058823529412,24.44,32.97,34,July,4AROA038.49_7,0.04127403846153849,0.0396239105769251,0.018302126015980077
4AROA038.49,8,28.919354838709676,23.89,32.22,31,August,4AROA038.49_8,0.031900000000000144,0.029896192941176795,9.815162047743786e-4
4AROA038.49,9,26.543181818181818,23.28,30.43,22,September,4AROA038.49_9,0.01653333333333329,0.029581399999999997,0.19404293317720916
4AROA038.49,10,19.949473684210528,12.22,25.81,19,October,4AROA038.49_10,-0.01929166666666663,0.09209987230769213,0.70855712890625
4AROA140.66,5,20.14952380952381,13.9,24.19,21,May,4AROA140.66_5,0.03249999999999996,0.06695872826086961,0.0384378433227539
4AROA140.66,6,25.2885,22,28.5,20,June,4AROA140.66_6,0.084335020242915,0.038890317740086916,4.183253591240097e-4
4AROA140.66,7,27.675714285714285,25.8,30.4,21,July,4AROA140.66_7,0.04998148148148142,0.04120514013822426,8.516311645507811e-4
4AROA140.66,8,26.246666666666666,17.5,29.64,21,August,4AROA140.66_8,0.1193497615262321,0.0486833553020991,9.536743164062499e-7
4AROA140.66,9,24.721875,21,29.31,17,September,4AROA140.66_9,0.10930357142857167,0.05701936865217346,0.005659531250802598
4AROA140.66,10,20.209444444444443,16.3,25.69,19,October,4AROA140.66_10,0.025703124999999917,0.07760512454545453,0.09790224323636039
4AROA145.34,5,19.271428571428572,14.7,24.03,21,May,4AROA145.34_5,0.012945454545454413,0.05237059863636385,0.4119815826416015
4AROA145.34,6,24.0475,19.3,26.6,20,June,4AROA145.34_6,0.03705238095238098,0.0637676849999992,0.04187022080996621
4AROA145.34,7,26.698095238095238,19.9,29.3,21,July,4AROA145.34_7,0.01812423935091275,0.03065388273833727,0.007101058959960937
4AROA145.34,8,25.8445,17.9,28.79,20,August,4AROA145.34_8,0.08980124223602483,0.04594883333333332,9.5367431640625e-6
4AROA145.34,9,24.77235294117647,21,28.48,18,September,4AROA145.34_9,0.07480588235294142,0.07286615617647066,0.0020904541015625004
4AROA145.34,10,19.97833333333333,15.1,26,19,October,4AROA145.34_10,0.005027083333333234,0.07443595472727275,0.6950584569564157
4AROA158.22,5,19.9452,14,24.64,25,May,4AROA158.22_5,0.0741428571428571,0.08670915499999997,0.0055788159370422355
4AROA158.22,6,24.374864864864865,9.4,27.84,37,June,4AROA158.22_6,8.865546218487855e-4,0.08224400349264697,0.369644570440869
4AROA158.22,7,27.171304347826087,24.08,29.1,23,July,4AROA158.22_7,0.05050000000000025,0.06004529999999937,7.376670837402343e-4
4AROA158.22,8,26.913939393939394,23.76,29.8,33,August,4AROA158.22_8,0.05089999999999997,0.04768618166666648,1.6053905710578002e-5
4AROA158.22,9,24.122,20.8,27.81,25,September,4AROA158.22_9,0.038045454545454604,0.045954984090908924,0.031807839870452874
4AROA158.22,10,19.330689655172414,17.1,21.9,29,October,4AROA158.22_10,0.07467424242424234,0.02588466098484835,3.725290298461911e-9
4AROA163.76,5,20.256,14.7,25.13,25,May,4AROA163.76_5,0.09256578947368413,0.09167279947368423,0.0016253590583801267
4AROA163.76,6,25.346756756756758,20.5,28.7,37,June,4AROA163.76_6,0.015308823529411483,0.03921325040106911,0.05468219784961558
4AROA163.76,7,27.299565217391304,14.5,29.61,23,July,4AROA163.76_7,0.11601388888888901,0.03826850371794848,7.152557373046873e-7
4AROA163.76,8,27.48057142857143,23.99,30.3,35,August,4AROA163.76_8,0.054243315508021216,0.051419268192881847,4.5564491301775074e-5
4AROA163.76,9,24.613599999999998,20.9,29.31,25,September,4AROA163.76_9,0.016016666666666464,0.05257389454545444,0.08513903617858885
4AROA163.76,10,19.40586206896552,17,21.8,29,October,4AROA163.76_10,0.06853535353535357,0.028989421251993663,3.725290298461911e-9
4AROA167.34,5,20.8404,15.6,25.25,25,May,4AROA167.34_5,0.08268681318681316,0.06874816940559438,0.011453330516815184
4AROA167.34,6,25.748,21.1,28.87,35,June,4AROA167.34_6,-0.024841013824884784,0.06398991684587815,0.5764270159997982
4AROA167.34,7,28.231304347826086,26.5,29.71,23,July,4AROA167.34_7,0.0904821428571427,0.053724393749999835,7.376670837402343e-4
4AROA167.34,8,27.688709677419354,24.53,30.3,31,August,4AROA167.34_8,0.052357142857142706,0.06100160909090883,2.2230669856071445e-5
4AROA167.34,9,24.6932,21.2,29.5,25,September,4AROA167.34_9,0.05379999999999994,0.07044203250000008,0.008822321891784666
4AROA167.34,10,19.339615384615385,15.7,21.8,26,October,4AROA167.34_10,0.059382575757575995,0.03181384547511314,9.888173487212225e-6
4AROA175.63,5,20.836666666666666,16,26.05,27,May,4AROA175.63_5,0.030846153846153763,0.061157968778280676,0.7495975196361541
4AROA175.63,6,25.37468085106383,9.7,28.7,47,June,4AROA175.63_6,-0.08127884615384628,0.08330696386639685,4.266066520625432e-6
4AROA175.63,7,28.286666666666665,25,31.55,33,July,4AROA175.63_7,-0.05205555555555581,0.12315875833333285,4.3149379240380443e-4
4AROA175.63,8,28.157659574468084,23.89,30.8,47,August,4AROA175.63_8,-0.04534615384615398,0.07279606730769243,4.5142235389498464e-5
4AROA175.63,9,25.65851851851852,22.2,29.9,27,September,4AROA175.63_9,-0.004892857142857159,0.08837354999999994,0.7317177355289458
4AROA175.63,10,19.975405405405404,15.56,24.13,37,October,4AROA175.63_10,0.061466359976998314,0.037385775301897566,5.137553671374928e-7
4AROA180.21,5,21.21608695652174,17.3,25.48,23,May,4AROA180.21_5,0.01933333333333328,0.05905689999999989,0.0802028179168701
