slope,MAD,pvalue,intercept,climate_region,month
0.013522727272727273,0.1621462712121212,0.864887237548828,-25.821250000000013,"E Piedmont 
(Div 2)",1
0.10742307692307693,0.14017697884615385,0.01134681701660156,-215.9106923076923,"E Piedmont 
(Div 2)",2
-0.0036666666666666666,0.12531436108597285,0.6578273773193358,7.405666666666666,"E Piedmont 
(Div 2)",3
0.011190476190476192,0.07842215909090909,1,-22.588809523809523,"E Piedmont 
(Div 2)",4
0.132,0.11732757272727277,0.010125160217285155,-265.078,"E Piedmont 
(Div 2)",5
0.006875,0.026872124999999997,0.3925838470458984,-13.709375000000001,"E Piedmont 
(Div 2)",6
0.069,0.0696822,3.538131713867187e-4,-138.992,"E Piedmont 
(Div 2)",7
-0.03592857142857143,0.07252866363636364,0.13728332519531247,72.72049999999999,"E Piedmont 
(Div 2)",8
0.05696428571428571,0.10542707051282049,0.003278732299804687,-114.59642857142856,"E Piedmont 
(Div 2)",9
0.19055555555555556,0.08689683333333337,4.100799560546874e-5,-384.2372222222222,"E Piedmont 
(Div 2)",10
-0.1417857142857143,0.0952538409090909,0.0010023117065429685,286.1575,"E Piedmont 
(Div 2)",11
0.08966666666666666,0.20689329999999997,0.10321426391601561,-180.427,"E Piedmont 
(Div 2)",12
0.025941558441558443,0.14192204545454545,0.972858428955078,-53.14224025974026,"W Piedmont 
(Div 3)",1
0.10061538461538462,0.12749138076923075,0.03191947937011718,-202.3344615384615,"W Piedmont 
(Div 3)",2
-0.019285714285714288,0.17964913157894735,0.9186935424804686,38.005000000000024,"W Piedmont 
(Div 3)",3
-0.005098039215686274,0.05997885294117647,0.5167608261108397,10.045000000000002,"W Piedmont 
(Div 3)",4
0.13699999999999998,0.15068607272727272,0.0037527084350585933,-275.33799999999997,"W Piedmont 
(Div 3)",5
0.005833333333333333,0.07845425,0.4119815826416015,-11.889166666666664,"W Piedmont 
(Div 3)",6
0.07722222222222222,0.07084800512820513,1.8119812011718747e-5,-155.106,"W Piedmont 
(Div 3)",7
-0.0268974358974359,0.07118448653846152,0.18506842903655432,54.599358974358985,"W Piedmont 
(Div 3)",8
0.05199999999999999,0.103596675,0.004878997802734374,-105.32399999999998,"W Piedmont 
(Div 3)",9
0.15216666666666667,0.09130344999999998,1.3351440429687498e-5,-306.1915,"W Piedmont 
(Div 3)",10
-0.1527272727272727,0.09766127622377624,0.001858711242675781,305.63,"W Piedmont 
(Div 3)",11
0.10545454545454545,0.16939186363636363,0.012691497802734373,-211.94272727272727,"W Piedmont 
(Div 3)",12
0.008668831168831166,0.1325077997326203,0.9999999999999999,-18.613885281385272,"Central Mtns 
(Div 5)",1
0.09807692307692309,0.17819949134615384,0.05469322204589843,-197.1742124542125,"Central Mtns 
(Div 5)",2
-0.077125,0.16642185,0.7853651046752929,154.9793630952381,"Central Mtns 
(Div 5)",3
-0.04533333333333342,0.04353078333333345,0.10321426391601561,91.37742857142874,"Central Mtns 
(Div 5)",4
0.11699999999999988,0.14765348181818178,0.012691497802734373,-235.126095238095,"Central Mtns 
(Div 5)",5
0.005952380952381207,0.06862320000000019,0.7592878341674804,-12.989047619048133,"Central Mtns 
(Div 5)",6
0.08087179487179491,0.08092049807692288,8.392333984374999e-5,-162.59993406593412,"Central Mtns 
(Div 5)",7
-0.05215277777777781,0.08885983012820518,0.07013702392578124,105.1335218253969,"Central Mtns 
(Div 5)",8
0.020730769230769122,0.12123106153846208,0.12807846069335935,-41.881646520146305,"Central Mtns 
(Div 5)",9
0.13851515151515148,0.08374443636363658,2.3841857910156247e-5,-278.9901341991342,"Central Mtns 
(Div 5)",10
-0.16856643356643353,0.07466690559440617,5.102157592773436e-4,339.43611555111545,"Central Mtns 
(Div 5)",11
0.11984848484848484,0.1619066590909091,0.007101058959960937,-240.93790043290042,"Central Mtns 
(Div 5)",12
-0.014791666666666703,0.13736112499999992,0.864887237548828,27.47553571428576,"SW Mtns 
(Div 6)",1
0.07383928571428572,0.0886177083333333,0.0384378433227539,-149.47875,"SW Mtns 
(Div 6)",2
0.023650793650793648,0.18847258333333322,0.6091489791870116,-47.928888888888984,"SW Mtns 
(Div 6)",3
-0.02013888888888893,0.07164028030303042,0.19775393382060868,41.762500000000074,"SW Mtns 
(Div 6)",4
0.06549999999999988,0.15307845000000003,0.029014587402343747,-131.48188095238072,"SW Mtns 
(Div 6)",5
0.025555555555555408,0.07257091666666632,0.14696407318115232,-50.70174603174574,"SW Mtns 
(Div 6)",6
0.06000000000000015,0.03935950000000017,7.209777832031249e-4,-120.63809523809554,"SW Mtns 
(Div 6)",7
-0.03895833333333314,0.0854090288461541,0.09579944610595702,78.48306547619006,"SW Mtns 
(Div 6)",8
0.006071428571428885,0.11504858333333362,0.3737249374389648,-12.957500000000646,"SW Mtns 
(Div 6)",9
0.16207720588235294,0.0698148345588236,1.3065338134765622e-4,-326.2698223039216,"SW Mtns 
(Div 6)",10
-0.16715909090909095,0.10835731417112296,0.003278732299804687,336.1873917748918,"SW Mtns 
(Div 6)",11
0.0919090909090909,0.1606044288770054,0.01754665374755859,-184.9772857142857,"SW Mtns 
(Div 6)",12
0.004749999999999982,0.15394330000000006,0.8917322158813475,-11.340226190476168,All Divisions,1
0.1079326923076923,0.14244087419871793,0.029014587402343747,-217.82456959706963,All Divisions,2
-0.03749999999999995,0.16126805,0.9457445144653319,75.39178571428563,All Divisions,3
-0.020479166666666705,0.06504466250000006,0.4523677825927734,41.16825297619055,All Divisions,4
0.1283333333333332,0.14354965625000016,0.009016036987304686,-257.7934523809521,All Divisions,5
0.021785714285714297,0.0841905,0.4523677825927734,-43.88309523809526,All Divisions,6
0.081346153846154165,0.0590290673076919,8.392333984374999e-5,-163.53043040293107,All Divisions,7
-0.04467013888888889,0.07122142708333337,0.13728332519531247,89.97760168650792,All Divisions,8
0.02972222222222222,0.10839136538461527,0.04207992553710937,-60.2923690476192,All Divisions,9
0.1443333333333333,0.07686710769230765,3.147125244140624e-5,-290.59157142857134,All Divisions,10
-0.1506458333333333,0.1314548240384616,0.001175880432128906,303.03153869047617,All Divisions,11
0.12379166666666666,0.15337849999999997,0.019473075866699215,-248.92239880952377,All Divisions,12
